,企業名,キャッチコピー,ステータス,初年度年収
52,芝情報株式会社 | コロナ禍でも未経験者を積極採用*完全週休2日*テレワーク導入中,【人材営業】★未経験歓迎★20～30代の若手活躍中★土日祝休み♪ 正社員,正社員,350万円～650万円
53,小林事務機株式会社 | ＜創業100年間近＞複合機・印刷機などでトップクラスのシェア,事務機器の専門商社で働く【総合職（営業・技術）】★年休114日 正社員,正社員,
54,株式会社高田工業所 | 東証上場の優良企業！「人」がタカダのまんなかです,【プラントエンジニアリング系技術職(設計/施工管理/技能工等)】 正社員,正社員,
55,株式会社ONE | 営業経験からWebマーケティング！新しいステップへ挑戦！,【Webマーケター】インハウス運用をお任せ！営業経験者歓迎★ 正社員,正社員,350万円～600万円
56,PLネットワークサービス株式会社,【物流コーディネーター】既存取引先への流通手配など 正社員,正社員,
57,株式会社ami | ★大手企業と安定取引★土日祝休み★年休125日～★残業月30h程度,ホスピタリティを活かせる！【研修運営事務】★未経験歓迎 正社員,正社員,300万円～500万円
58,株式会社アプレ コミュニケーションズ | ◆設立30年◆紙・Web・動画・・・多様なメディアを扱う,【編集・ライティング】企画やディレクションもできる！ 正社員,正社員,300万円～500万円
59,芝情報株式会社 | 東京23区(人気エリア)に社宅あり*土日祝休み*Skype面接も可能！,＼U・Iターン歓迎／【エンジニア】*残業少*20～30代活躍中！ 正社員,正社員,300万円～700万円
60,株式会社メガ・テクノロジー | ◆土日祝休み ◆残業月15H未満 ◆リモート100%を目指しています,未経験でも月給26万円～可 ※東京【ITエンジニア】資格取得支援 正社員,正社員,320万円～900万円
61,Ｇ・Ｏ・Ｇ株式会社 | ★初年度の年収520万も可能　★班長昇格で年収710万以上も可能！,【電気工事士】大手通信業社設備保守で安定した仕事・未経験歓迎 正社員,正社員,520万円～530万円
62,トシン・グループ株式会社 | JASDAQ上場/褒賞金制度あり!1回の賞与に最大131万円上乗せ支給!,"上場企業で活躍!住宅設備資材の【ルート営業】千葉,群馬限定採用 正社員",正社員,300万円～500万円
63,株式会社ハート引越センター　 | 横浜北センター/シフト制であなただけの働き方を叶えられます！,未経験歓迎！★応募者全員面接します★【引越ドライバー】 正社員,正社員,400万円～450万円
64,共立電業株式会社 | ★遠方案件ナシ／残業少なめ／完全週休2日に移行予定★,アシスタントから始める【電気工事・施工管理】★賞与5ヶ月分 正社員,正社員,
65,株式会社ハート引越センター　 | 横浜北センター/正社員デビュー大歓迎！有給取得率ほぼ100％！！,ノルマなし！原則定時！★全員面接します★【反響営業】 正社員,正社員,400万円～450万円
66,富士電子システム株式会社 | ＊コロナ禍でも業績安定＊主要取引先は富士通グループ＊完休2日,【技術スタッフ（電気）】★未経験からスタートできるチャンス！ 正社員,正社員,300万円～450万円
67,株式会社宮崎通信 | 創業25年の安定基盤★30分単位有給OK★賞与年2～3カ月実績,【電気工事スタッフ】★年休120日以上/夜勤や出張ほとんどナシ！ 正社員,正社員,350万円～500万円
68,日本アクセス株式会社 | ★テレワーク実施中 ★U&Iターン歓迎 ★転勤なし,【インフラエンジニア】定着率90％以上 ※名古屋事業所限定募集 正社員,正社員,360万円～600万円
69,株式会社マトリックス | 大阪府緊急雇用対策に賛同/年休120日超/フレックスタイム制あり,【設計エンジニア】アクティブ型ICタグでシェアトップクラス！ 正社員,正社員,
70,フルテック株式会社 | 【官公庁や大学の研究室との取引多数】大阪府緊急雇用対策に賛同,専門メーカーの【提案営業】※未経験歓迎／月給29.8万円以上 正社員,正社員,360万円～1200万円
71,日本サポートシステム株式会社 | 《関東最大級のロボットシステムインテグレーター》,【電気設計エンジニア】◆経験者採用◆土日祝休み◆年休122日 正社員,正社員,
72,日本サポートシステム株式会社 | 【関東最大級のロボットシステムインテグレーター】,経験者を積極採用！生産設備の【機械設計】◎土日祝休/年休122日 正社員,正社員,
73,イーサポートリンク株式会社 | 【JASDAQ上場】20～30代が活躍中/閑散期はリモートワークも可能,多彩な業務を通じて成長できる【経理・財務スタッフ】土日祝休み 正社員,正社員,300万円～350万円
74,株式会社レイメイコンピュータ | 「無人店舗」決済サービスのアプリ開発プロジェクトメンバー！,★テレワークOK★年休120日★土日祝休【SE・PG】※リーダー候補 正社員,正社員,
75,富士通コミュニケーションサービス株式会社 | 《 富士通グループ 》綺麗なオフィスで働ける♪ 福利厚生が充実,【 リーダー候補 】年間休日125日/正社員登用制度あり 契約社員,契約社員,
76,古河林業株式会社 | 140年以上の歴史を誇る古河グループの中核企業,国産材でつくる注文住宅の【営業】完全反響型／インセンティブ有 正社員,正社員,300万円～450万円
77,日本総合システム株式会社 | 【コロナ禍でも増収増益見込み】☆残業月10h☆男性の育休実績有,大手企業への導入実績多数！自社パッケージに携わる【SE】 正社員,正社員,450万円～700万円
78,株式会社デジック | 北海道で自由度高くプロフェッショナル集団を目指す！,札幌勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,306万円～594万円
