,キャッチコピー,ステータス,企業名,初年度年収
58,【ITエンジニア】◎ほぼリモート案件 ◎前職給保証あり 正社員,正社員,アンブレラ株式会社 | NEC・NTTデータ・富士通・日立製作所等大手クライアント案件多数,280万円～700万円
59,エレクトロニクス部材・半導体部品の【 ルート営業 】 正社員,正社員,三昌商事株式会社 | 【 事業拡大の増員募集！】▼完全週休2日制　▼年間休日120日,
60,<20~30代も多数活躍中>【製造系総合職】◎社員食堂が好評◎ 正社員,正社員,ユニマイクロンジャパン株式会社 | 世界が認めた“Made in Japan”のモノづくり企業※Web面接可能,300万円～400万円
61,自社内開発メイン＆自社パッケージあり【 ITエンジニア（PG）】 正社員,正社員,三昌商事株式会社 | 【 事業拡大の増員募集！】▼完全週休2日制　▼年間休日120日,
62,AIやAWSなど最新技術に挑戦！【ITエンジニア】★教育事業で成長 正社員,正社員,株式会社メガ・テクノロジー | ◆土日祝休◆残業月15H未満◆ハイレベルな研修◆リモート推進中,320万円～900万円
63,【Webマーケティング】インハウス運用をお任せ！営業経験歓迎★ 正社員,正社員,株式会社ONE | 営業経験からWebマーケティング！新しいステップへ挑戦！,350万円～600万円
64,経営スキルも学べる!【ITエンジニア】★年休140日★残業ほぼゼロ 正社員,正社員,株式会社WITS | ◆未経験OK◆リモートワーク7～8割◆土日祝休み◆WEB面接実施中,300万円～700万円
65,【プラントエンジニアリング系技術職(設計/施工管理/技能工等)】 正社員,正社員,株式会社高田工業所 | 東証上場の優良企業！「人」がタカダのまんなかです,
66,世界的リーディング企業で“モノづくり”を！【製造スタッフ】 正社員,正社員,株式会社不二製作所 | 【創業70年以上のエアーブラスト専業メーカー】★年間休日127日,350万円～500万円
67,【ITエンジニア】月給35万円以上/リモート案件有/年休125日以上 正社員,正社員,株式会社トゥインクル　 | 創業者はエンジニア！生粋のシステム開発のエンジニア集団です！,420万円～600万円
68,＜自社内受託開発＞【 ITエンジニア 】平均年収上昇中★土日祝休 正社員,正社員,株式会社スターシステム | 1年目で月収55万円可★6/19マイナビ転職フェア@東京立川に出展,350万円～700万円
69,未経験OK！【通信・電気工事スタッフ】★月給24万～★定着率93% 正社員,正社員,株式会社アイズ・コミュニケーション | ★引越し費用負担・社員寮・社宅あり★退職金あり★賞与年2回,350万円～650万円
70,【携帯ショップスタッフ】土日休み可★残業なし★同期たくさん♪ 正社員,正社員,株式会社アイルネット | 創業48年＊正規代理店＊福利厚生充実＊au/SoftBank/Y!mobile等,280万円～500万円
